"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","spa",,,"Worksheet","Graph"
"Vehicle","ks_porsche_911_gt3_r_2016",,,"Vehicle Desc",""
"Driver","xxzerpia23",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Soft (S)",,,"Session","PRACTICE"
"Log Date","6/12/2026",,,"Origin Time","139.249","s"
"Log Time","1:02:00 AM",,,"Start Time","139.250","s"
"Sample Rate","20.000","Hz",,"End Time","281.100","s"
"Duration","141.850","s",,"Start Distance","6607","m"
"Range","Lap 1",,,"End Distance","13562","m"


"Engine RPM","Ground Speed","Throttle Pos","Brake Pos","Steering Angle","Lap Time"
"rpm","km/h","%","%","deg","s"


"7582","243.09","100.00","0.00","-10.65","22.30"
"7594","243.17","100.00","0.00","-8.74","22.36"
"7590","243.24","100.00","0.00","-7.39","22.41"
"7584","243.42","100.00","0.00","-4.93","22.46"
"7598","243.56","100.00","0.00","-2.19","22.50"
"7627","243.51","100.00","0.00","1.40","22.55"
"7542","243.53","100.00","0.00","3.58","22.61"
"7645","243.66","100.00","0.00","7.39","22.65"
"7934","243.36","100.00","0.00","11.76","22.71"
"7622","243.85","100.00","0.00","16.14","22.75"
"7569","243.88","100.00","0.00","21.06","22.81"
"7607","243.69","100.00","0.00","23.25","22.85"
"7679","243.49","100.00","0.00","23.25","22.91"
"7639","243.48","100.00","0.00","23.25","22.95"
"7600","243.21","100.00","0.00","23.25","23.01"
"7563","242.99","100.00","0.00","23.25","23.05"
"7601","242.75","100.00","0.00","23.25","23.10"
"7572","242.59","100.00","0.00","22.69","23.16"
"7555","242.43","100.00","0.00","21.85","23.20"
"7543","242.32","100.00","0.00","21.34","23.26"
"7557","242.23","100.00","0.00","21.34","23.30"
"7562","242.10","100.00","0.00","21.62","23.36"
"7551","241.94","100.00","0.00","22.69","23.41"
"7544","241.74","100.00","0.00","24.88","23.45"
"7528","241.54","100.00","0.00","28.69","23.51"
"7551","241.31","100.00","0.00","31.99","23.56"
"7560","241.10","100.00","0.00","33.06","23.60"
"7538","240.77","100.00","0.00","33.06","23.66"
"7507","240.42","100.00","0.00","33.06","23.71"
"7494","240.07","100.00","0.00","33.06","23.76"
"7480","239.59","100.00","0.00","33.90","23.81"
"7452","239.26","100.00","0.00","34.46","23.86"
"7478","238.99","100.00","0.00","34.46","23.90"
"7493","238.68","100.00","0.00","34.46","23.95"
"7475","238.40","100.00","0.00","34.97","24.01"
"7457","238.05","100.00","0.00","34.97","24.06"
"7446","237.64","99.41","0.00","34.97","24.11"
"7457","237.36","95.22","0.00","34.97","24.15"
